"sleep","sleepnap","rest","work","age","sex","educ","exper","black","gdhealth","labor","self","union","married","ymarried","yngkid","hwage","spwork","spwage","earnings"
3113,3163,0,3438,32,"Male",12,14,0,0,1,0,0,1,13,0,7.07000350952148,0,0,0
2920,2920,0,5020,31,"Male",14,11,0,1,1,1,0,0,0,0,1.42999935150146,0,0,9500
2670,2760,278,2815,44,"Male",17,21,0,1,1,1,0,1,0,0,20.5299968719482,1,20000,42500
3083,3083,0,3786,30,"Female",12,12,0,1,1,1,0,1,12,0,9.61999797821045,1,5000,42500
3448,3493,0,2580,64,"Male",14,44,0,1,1,0,0,1,33,0,2.75000023841858,1,2400,2500
4063,4078,0,1205,41,"Male",12,23,0,1,1,0,0,1,23,0,19.2499980926514,0,0,0
3180,3810,0,2113,35,"Male",12,17,0,1,1,0,0,1,0,1,1.43999981880188,1,12000,8250
2928,3003,30,3608,47,"Male",13,28,0,1,1,1,0,1,24,0,15.0100069046021,0,0,0
3368,3368,238,2353,32,"Male",17,9,0,1,1,0,1,1,11,0,4.32999753952026,0,0,18750
3018,3168,0,2851,30,"Male",15,9,0,1,1,1,0,1,7,0,2.95999908447266,1,6000,11750
1575,1988,0,6415,43,"Male",8,29,0,1,1,0,0,1,23,0,2.40000081062317,0,0,21250
3295,3355,125,370,23,"Female",16,1,0,1,1,0,0,1,4,0,1.22999978065491,1,3000,1000
3798,3798,50,2438,24,"Male",16,2,0,1,1,0,0,1,4,0,1.22999978065491,1,3000,1000
3008,3008,0,2693,48,"Male",5,37,0,1,1,0,0,1,0,0,5.61000156402588,1,6000,18750
3248,3248,318,2526,33,"Male",12,15,0,1,1,0,0,1,9,0,3.13000011444092,1,9000,6750
3683,3683,0,2950,23,"Male",12,5,0,0,1,1,0,1,4,0,2.30999875068665,1,5000,4500
3201,3201,0,3003,46,"Male",17,23,0,1,1,0,0,1,21,0,9.90000343322754,1,3000,32500
2580,2580,0,4011,37,"Male",14,17,0,1,1,1,0,1,17,1,3.95999979972839,1,1000,13750
3420,3525,50,2300,53,"Male",12,35,0,1,1,0,0,1,26,0,3.29999852180481,0,0,0
3090,3090,75,1543,45,"Male",17,22,0,1,1,0,0,1,22,0,14.850001335144,0,0,42500
2760,2760,0,3473,46,"Male",17,23,0,1,1,1,0,0,0,0,35.5099868774414,0,0,42500
2880,3030,0,3276,40,"Male",13,21,0,1,1,1,0,1,0,0,5.32999897003174,1,8300,18750
3470,3560,0,2506,53,"Male",12,35,0,1,1,0,0,1,31,0,3.26999998092651,1,5200,11750
2673,2673,0,2651,29,"Male",13,10,0,1,1,0,1,0,0,0,5.06000232696533,0,0,16250
2820,2850,0,4580,29,"Male",12,11,0,1,1,0,0,1,4,0,2.49000072479248,1,8400,6750
2873,3243,0,3588,53,"Male",12,35,0,1,1,0,1,1,0,0,5.3199987411499,1,12000,13750
1905,1905,0,3418,28,"Male",13,9,0,1,1,1,0,1,4,0,2.6899995803833,0,0,0
2926,3001,0,2250,35,"Female",12,17,0,1,1,0,0,0,0,0,2.6899995803833,0,0,6750
2603,2603,15,2638,36,"Male",12,18,0,1,1,0,0,1,6,1,2.95999908447266,1,400,0
3238,3292,0,3173,59,"Male",12,41,0,0,1,1,0,1,0,0,3.46000146865845,0,0,9500
3888,3933,0,3446,26,"Male",12,8,0,1,1,0,0,1,2,0,3.46000146865845,1,4000,4500
2716,2716,213,3588,24,"Male",16,2,0,1,1,1,0,1,1,0,4.23000001907349,1,1300,0
3245,3275,25,2961,28,"Male",16,6,1,1,1,0,0,0,0,0,4.80999946594238,0,0,13750
3158,3158,0,2778,39,"Male",16,17,0,1,1,0,0,1,0,0,24.6299934387207,1,4000,42500
3105,3165,90,3080,33,"Male",17,10,0,1,1,1,0,1,5,0,19.2499980926514,1,15000,42500
3515,3665,0,3556,28,"Male",17,5,0,1,1,0,1,0,0,0,3.84999942779541,0,0,16250
3330,3330,0,2788,33,"Male",12,15,0,1,1,0,0,1,11,0,7.69999694824219,0,0,18750
4153,5128,0,1100,47,"Male",12,29,0,1,1,0,1,1,22,0,5.38999795913696,1,1500,3500
2955,2955,0,3116,31,"Male",16,9,0,1,1,0,0,1,7,1,4.62000131607056,0,0,0
2200,2838,0,2506,26,"Male",12,8,0,0,1,0,0,0,0,0,3.84999942779541,0,0,16250
2885,3073,0,2763,31,"Male",15,10,0,1,1,0,0,1,13,0,5.38999795913696,0,0,32500
3345,3495,111,3048,38,"Male",16,16,0,1,1,0,0,1,15,0,7.69999694824219,1,4600,0
2765,2978,0,2511,44,"Female",17,21,0,1,1,1,0,0,0,0,2.15999937057495,0,0,6750
3928,3953,188,3268,49,"Male",12,31,0,0,1,1,0,1,30,0,6.08000135421753,0,0,0
2833,3406,0,3242,56,"Male",11,39,0,1,1,0,1,1,35,0,5.76999950408936,1,12000,13750
3750,3750,0,2550,41,"Male",12,23,0,1,1,0,0,1,19,0,5.76999950408936,0,0,1000
3328,3328,0,3188,36,"Male",12,18,0,1,1,0,1,1,15,0,5.76999950408936,1,6000,16250
3795,3848,55,1555,36,"Male",9,21,0,1,1,0,1,1,18,0,7.41999959945679,0,0,18750
3363,3513,0,2743,37,"Male",12,19,0,1,1,0,0,1,17,0,4.32999753952026,0,0,0
2280,2280,0,5043,23,"Male",9,8,0,0,1,0,0,1,0,0,4.53999996185303,1,900,2500
4151,4176,113,3570,29,"Male",10,13,0,1,1,0,0,1,5,0,3.29999852180481,0,0,6750
3266,3266,0,2883,29,"Male",17,6,0,1,1,0,0,0,0,0,4.73999929428101,0,0,6750
3570,3570,0,2398,26,"Male",16,4,0,1,1,0,1,1,2,0,3.39000010490417,1,8066,6750
2885,2885,15,2663,29,"Male",16,7,0,1,1,0,0,1,10,1,7.34999752044678,0,0,0
2879,2879,0,2363,25,"Male",17,2,0,1,1,0,0,0,0,0,3.15000176429749,0,0,11750
2790,2790,0,1800,24,"Female",14,4,0,1,1,1,1,0,0,0,1.04999983310699,0,0,1000
2799,2799,0,2700,23,"Male",16,1,0,1,1,0,0,1,0,0,8.40000247955322,1,15000,11750
3173,3211,0,3031,28,"Male",12,10,0,1,1,0,0,1,5,0,5.46000099182129,1,12000,16250
3308,3308,0,2438,29,"Male",17,6,0,1,1,0,0,1,7,1,5.46000099182129,0,0,13750
3305,3305,0,2620,39,"Male",12,21,0,1,1,1,0,1,19,0,8.40000247955322,1,18000,42500
2975,3646,3,2698,31,"Female",12,13,0,1,1,0,0,0,0,0,2.79999876022339,0,0,9500
3316,3466,67,2970,50,"Male",8,36,0,1,1,0,0,1,28,0,4.28000020980835,1,1575,2500
3226,3226,45,2430,36,"Male",10,20,0,1,1,0,0,1,15,0,3.05000114440918,1,7500,8250
3635,3635,0,2250,28,"Female",12,10,0,1,1,0,0,1,5,0,2.43999981880188,0,0,1000
3233,3683,0,2888,50,"Male",11,33,0,1,1,0,0,1,26,0,5.17999935150146,1,2200,2500
3348,3348,150,1345,50,"Male",12,32,0,1,1,0,0,1,28,0,7.99000215530396,0,0,0
2630,2630,0,2925,50,"Female",13,31,0,1,1,1,0,0,0,0,5.99999713897705,0,0,13750
2858,2858,60,3976,55,"Female",12,37,0,1,1,0,0,0,0,0,3.22999954223633,0,0,8250
3203,3271,0,2205,34,"Female",16,12,0,1,1,0,0,1,12,0,3.22999954223633,1,13500,8250
3451,3551,0,1208,44,"Male",12,26,0,1,1,0,1,0,0,0,5.99999713897705,0,0,16250
3008,3008,0,2905,30,"Male",16,8,0,1,1,0,1,1,4,1,5.76999950408936,0,0,13750
2821,2851,38,3825,23,"Male",9,8,0,1,1,0,0,1,2,0,2.7699990272522,0,0,6750
3525,3680,38,2348,32,"Male",16,10,0,1,1,0,0,1,7,1,5.54000282287598,1,600,13750
3150,3210,0,1825,40,"Male",15,19,0,1,1,0,0,1,18,0,8.31000328063965,0,0,0
3113,3113,0,2563,34,"Female",10,18,0,1,1,0,0,1,15,0,2.7699990272522,1,8500,8250
2816,2816,0,2576,23,"Female",16,1,0,1,1,0,0,1,0,0,5.54000282287598,1,12000,11750
3105,3105,0,2275,24,"Male",12,6,0,1,1,0,0,1,4,1,5.54000282287598,0,0,0
3605,3605,30,3595,39,"Male",12,21,0,1,1,1,0,1,18,0,5.54000282287598,0,0,4500
3611,3611,0,2575,39,"Male",17,16,0,1,1,0,0,0,0,0,7.85000324249268,0,0,18750
3128,3128,0,2843,33,"Male",16,11,0,1,1,0,0,1,11,0,7.85000324249268,0,0,27500
3213,3213,63,2188,31,"Male",12,13,0,1,1,0,1,1,8,0,7.85000324249268,1,17000,18750
3860,6110,0,0,37,"Male",14,17,0,1,1,0,0,1,17,0,2.53999972343445,1,6000,16250
4275,4388,235,2248,60,"Female",6,48,0,0,1,0,0,1,0,0,1.2700001001358,0,0,2500
3076,3701,0,2876,43,"Male",12,25,0,1,1,0,0,1,23,0,7.61999750137329,1,3000,16250
4313,4313,0,2758,34,"Male",16,12,0,1,1,0,0,1,9,1,7.39000225067139,0,0,18750
2885,2885,45,2578,37,"Male",16,15,0,1,1,0,0,1,12,0,4.62000131607056,1,8600,8250
3165,3165,8,2163,50,"Male",17,27,0,1,1,0,0,0,0,0,16.1700057983398,0,0,32500
3105,3555,119,4075,32,"Male",12,14,0,1,1,0,0,1,12,0,2.30999875068665,1,48000,42500
3063,3103,30,2388,47,"Male",12,29,0,1,1,0,0,1,27,0,6.93000173568726,0,0,0
3368,3368,75,2048,35,"Male",17,12,0,1,1,0,0,1,8,1,6.93000173568726,1,13000,18750
3415,3415,30,2935,62,"Male",16,40,0,1,1,0,0,1,39,0,4.62000131607056,1,2500,16250
3508,3508,25,2400,38,"Male",16,16,0,1,1,0,0,1,6,1,11.5500068664551,0,0,0
2788,2908,25,2325,51,"Male",16,29,0,1,1,0,0,0,0,0,8.33000469207764,0,0,21250
3180,3385,20,2108,32,"Male",12,14,0,1,1,0,0,0,0,0,4.99000024795532,0,0,13750
3123,3123,0,2483,49,"Male",12,31,0,1,1,0,0,1,24,0,4.87000036239624,1,350,13750
3388,3613,60,1913,36,"Male",17,13,0,1,1,0,1,1,14,0,6.46999979019165,0,0,10500
3610,3610,15,1738,41,"Male",17,18,0,1,1,1,0,1,17,0,6.46999979019165,0,0,23750
3351,3456,0,3671,34,"Male",12,16,0,1,1,0,0,1,5,1,2.08000016212463,0,0,0
2653,3088,0,3225,36,"Male",12,18,0,1,1,0,0,1,11,0,4.15999984741211,0,0,13750
3413,3533,0,4058,31,"Male",16,9,0,1,1,0,0,1,9,1,4.15999984741211,1,600,10500
3218,3278,0,2713,38,"Male",12,20,0,1,1,0,0,1,16,0,5.26999807357788,1,11000,10500
3045,3045,20,2982,32,"Male",12,14,0,1,1,0,0,1,10,1,3.70000076293945,0,0,10500
3433,3808,0,3025,35,"Male",12,17,0,1,1,0,0,1,13,0,3.70000076293945,1,4500,4500
3730,3888,0,2213,23,"Female",16,1,0,1,1,0,1,1,2,0,2.65999984741211,1,9700,6750
2970,2970,88,2125,27,"Male",15,6,0,1,1,1,0,1,6,1,1.39000034332275,0,0,9500
3475,3475,33,2313,47,"Female",12,29,0,1,1,0,0,1,0,0,0.959999978542328,1,20000,2500
3430,3430,0,3140,39,"Male",11,22,0,1,1,1,0,1,22,0,1.91999959945679,0,0,0
2910,2940,83,625,34,"Female",14,14,0,1,1,0,0,1,17,1,1.43999981880188,1,15000,13750
3570,3577,0,2350,52,"Male",7,39,0,1,1,0,0,1,0,0,2.59999871253967,0,0,6750
3060,3345,0,2745,45,"Male",12,27,0,1,1,0,1,1,23,0,6.25000333786011,0,0,16250
3495,3660,60,2038,61,"Male",17,38,0,1,1,0,1,1,0,0,5.76999950408936,1,1200,13750
2970,2970,0,2880,44,"Female",12,26,0,0,1,0,1,0,0,0,5.76999950408936,0,0,16250
3008,3423,0,3331,51,"Male",8,37,0,0,1,0,0,1,27,0,5.76999950408936,1,2500,2500
3428,3428,135,1175,49,"Female",15,28,0,1,1,0,1,1,26,0,4.80999946594238,0,0,13750
3288,3288,0,1605,64,"Male",10,48,0,1,1,0,0,1,42,0,4.80999946594238,1,2000,13750
2400,2400,0,3146,30,"Male",12,12,0,1,1,0,0,1,9,1,9.61999797821045,0,0,18750
3070,3100,73,3135,36,"Male",12,18,0,1,1,0,0,1,6,0,9.61999797821045,0,0,0
2250,2250,0,4065,26,"Female",15,5,0,1,1,0,0,1,5,1,4.32999753952026,1,11500,13750
3323,3628,38,2968,44,"Male",8,30,0,0,1,0,1,1,24,0,8.66000270843506,1,6000,5500
3023,3023,0,2791,28,"Male",12,10,0,1,1,0,0,0,0,0,4.09000015258789,0,0,10500
3505,3505,413,2398,59,"Male",13,40,0,1,1,1,0,1,37,0,32.47998046875,1,8250,18750
3503,3503,30,1588,35,"Male",12,17,0,1,1,0,1,1,14,0,5.40000009536743,0,0,13750
3370,3370,150,2611,56,"Male",12,38,0,1,1,0,0,1,33,0,3.61000084877014,0,0,8250
3120,3120,300,2948,38,"Male",12,20,0,1,1,0,0,1,19,0,7.22000074386597,0,0,16250
3308,3308,0,3038,28,"Male",17,5,0,1,1,1,0,1,2,0,7.22000074386597,1,14000,13750
3398,3421,0,1655,50,"Female",14,30,0,1,1,0,0,1,20,0,3.3700008392334,0,0,0
3333,3393,38,2560,46,"Male",8,32,0,1,1,0,1,1,25,0,6.74000024795532,0,0,18750
2728,2923,0,1175,28,"Female",16,6,0,1,1,0,1,0,0,0,3.54000091552734,0,0,6750
3256,3256,0,1350,28,"Male",12,10,0,0,1,0,0,1,6,1,2.89000153541565,0,0,3500
3250,3545,0,3598,36,"Female",12,18,0,1,1,0,0,1,0,0,1.66000068187714,1,14000,0
2915,2915,0,2638,47,"Male",16,25,0,1,1,0,0,1,19,0,10.3200025558472,0,0,27500
4170,4290,2,3230,40,"Male",14,20,0,1,1,0,0,1,10,0,3.43999838829041,0,0,13750
3030,3030,0,3311,42,"Male",14,22,0,1,1,0,0,1,20,0,12.779993057251,0,0,0
3668,3668,0,2218,41,"Female",16,19,1,1,1,0,1,0,0,0,4.66999959945679,0,0,8250
2303,2303,0,3699,44,"Male",17,21,1,1,1,0,0,1,14,0,5.8999981880188,1,5500,6750
3618,3688,0,3569,53,"Female",16,31,0,1,1,0,0,1,32,0,2.45999932289124,1,17600,18750
3316,3466,0,1775,39,"Male",11,22,0,1,1,0,1,1,20,0,4.02000045776367,1,4500,16250
3601,3676,313,283,26,"Female",12,8,0,1,1,1,0,1,6,0,0.509999752044678,1,12500,1000
2413,2413,90,400,25,"Female",12,7,1,0,1,1,0,1,0,0,1.06000006198883,1,11000,0
2771,2771,30,3533,32,"Male",6,20,1,1,1,0,1,1,10,1,2.05000042915344,1,800,6750
3383,3748,0,2638,32,"Male",12,14,0,1,1,0,0,1,0,0,2.82000017166138,1,5700,10500
3808,3808,0,1175,24,"Female",17,1,0,0,1,0,0,1,3,0,2.82000017166138,0,0,4500
3363,3363,0,2426,56,"Male",12,38,0,1,1,1,0,1,28,0,3.58999919891357,1,5000,8250
3675,3675,0,2113,34,"Male",10,18,0,1,1,0,0,1,17,0,3.58999919891357,1,4000,3500
3120,3195,75,2477,23,"Male",13,4,0,1,1,0,0,1,0,1,4.35999965667725,1,3500,11750
3536,3536,25,2375,29,"Female",12,11,0,1,1,0,1,1,8,0,8.71999740600586,1,17000,18750
3253,3253,0,2813,27,"Male",12,9,0,1,1,0,0,1,8,0,5.13000154495239,0,0,0
2885,2945,0,2625,58,"Male",10,42,0,1,1,0,0,0,0,0,5.13000154495239,0,0,13750
2560,2560,38,3018,56,"Male",12,38,0,1,1,0,0,1,33,0,5.13000154495239,1,11000,21250
2985,3007,0,4335,37,"Male",14,17,0,1,1,0,1,1,0,0,6.6700005531311,0,0,18750
3095,3095,0,3105,51,"Female",12,33,0,0,1,0,0,1,0,0,6.6700005531311,1,14000,13750
2985,2985,0,3194,50,"Male",12,32,0,1,1,0,0,1,28,0,6.25999879837036,0,0,13750
2243,2243,0,2713,39,"Male",16,17,0,1,1,0,0,1,18,0,8.21000194549561,1,2700,23750
2838,3383,0,2338,48,"Male",12,30,0,1,1,0,0,1,20,0,8.21000194549561,0,0,0
3375,3375,90,938,50,"Male",16,28,0,1,1,0,0,1,29,0,11.2899961471558,1,6000,27500
3355,3355,38,3151,26,"Male",16,4,0,1,1,0,1,1,1,1,7.69999694824219,0,0,13750
3743,3865,40,0,51,"Male",11,34,0,1,1,0,1,1,29,0,6.16000127792358,1,1000,16250
2701,2741,0,3695,39,"Male",16,17,0,1,1,0,0,1,15,0,7.69999694824219,1,3600,18750
2943,3003,13,2575,54,"Female",14,34,0,1,1,0,0,1,27,0,3.08000135421753,1,9500,8250
3463,3463,0,2380,28,"Male",12,10,0,1,1,0,0,1,1,0,3.84999942779541,0,0,4500
2723,2843,0,2781,37,"Male",12,19,0,1,1,0,0,0,0,0,4.62000131607056,0,0,10500
3875,4205,0,2088,26,"Male",14,6,0,1,1,0,0,1,4,1,4.62000131607056,1,350,8250
3115,3115,100,2892,35,"Male",17,12,0,1,1,0,1,1,13,0,6.16000127792358,1,1000,13750
2756,3566,0,1188,53,"Female",15,32,0,1,1,0,0,0,0,0,4.62000131607056,0,0,16250
3398,3398,600,2088,53,"Male",16,31,0,1,1,0,0,1,30,0,15.3999900817871,1,3500,42500
3098,3098,30,3480,27,"Male",12,9,0,1,1,0,0,1,7,0,6.16000127792358,1,5500,5500
2991,3111,0,2588,37,"Male",17,14,0,1,1,0,0,1,16,0,9.60000038146973,0,0,21250
3215,3215,10,2688,28,"Female",12,10,0,1,1,0,0,1,9,0,3.58000063896179,1,4800,6750
3611,3761,90,1445,29,"Female",17,6,0,1,1,0,0,1,2,0,5.65000247955322,1,19000,13750
3305,3455,125,3050,44,"Male",12,26,0,1,1,0,0,1,22,0,5.65000247955322,1,5400,5500
3367,3367,0,2250,26,"Female",12,8,0,1,1,0,0,1,7,0,2.43999981880188,1,7000,5500
2618,2618,85,2763,32,"Male",16,10,0,1,1,0,0,0,0,0,4.87999868392944,0,0,16250
3475,4200,55,3008,59,"Female",8,45,0,0,1,0,0,0,0,0,4.10999965667725,0,0,9500
3618,3618,68,2941,26,"Male",17,3,0,1,1,0,0,1,2,0,3.34000062942505,0,0,3500
3460,3545,0,650,32,"Female",11,15,0,0,1,0,0,0,0,0,2.57000017166138,0,0,2500
3250,3250,0,2700,27,"Male",14,7,0,1,1,0,0,1,8,0,2.57000017166138,0,0,8250
2648,3008,10,2775,57,"Female",9,42,0,1,1,0,0,0,0,0,2.75000023841858,0,0,4500
3045,3165,18,2313,26,"Male",12,8,0,1,1,1,0,1,4,1,1.80000054836273,0,0,0
3065,3065,0,3003,37,"Male",12,19,0,0,1,0,1,1,14,0,3.67000126838684,1,7000,6750
2875,2875,0,2301,24,"Male",14,4,0,1,1,0,0,1,1,0,3.67000126838684,0,0,2500
3090,4353,82,1806,33,"Male",12,15,0,1,1,0,0,1,14,0,6.03999996185303,0,0,11750
2798,2888,0,2366,33,"Male",17,10,0,1,1,0,1,0,0,0,4.83000230789185,0,0,10500
3610,3610,0,2466,27,"Male",14,7,0,1,1,0,0,1,0,1,3.21999883651733,0,0,8250
3403,3838,0,2648,45,"Male",8,31,0,1,1,0,1,1,18,0,5.40999937057495,1,3000,16250
3656,3881,0,2010,32,"Male",12,14,0,1,1,0,1,1,9,0,5.91000127792358,1,4000,9500
3348,3348,0,1760,30,"Male",17,7,0,1,1,1,0,1,7,1,8.06000423431396,0,0,13750
3130,3490,0,3135,35,"Female",12,17,0,1,1,0,0,1,13,0,1.91999959945679,1,11500,4500
3213,4084,263,1485,35,"Female",10,19,0,1,1,0,0,0,0,0,1.91999959945679,0,0,4500
3855,3855,0,2463,46,"Male",7,33,0,0,1,0,1,1,24,0,3.02000069618225,0,0,11750
3138,3183,213,2351,47,"Male",12,29,0,1,1,0,0,1,25,0,8.52000522613525,0,0,16250
3203,3541,0,2975,51,"Male",12,33,0,1,1,0,1,0,0,0,3.95999979972839,0,0,16250
2930,3050,3,1283,28,"Male",10,12,0,1,1,0,1,1,9,0,6.6000018119812,0,0,10500
2448,2448,0,2488,47,"Male",17,24,0,1,1,0,0,1,19,0,8.24999904632568,1,6000,16250
3556,4111,0,826,46,"Female",12,28,0,0,1,0,0,1,0,0,2.30999875068665,1,7900,3500
3660,3660,0,2575,42,"Female",14,22,0,1,1,0,0,1,0,0,4.50999927520752,1,11000,8250
2536,2536,75,2326,59,"Female",9,44,0,1,1,0,0,0,0,0,1.15000009536743,0,0,1000
2828,2945,3,2700,30,"Female",11,13,0,1,1,0,1,1,12,0,1.15000009536743,1,7500,1000
3103,3103,0,1350,35,"Female",12,17,0,1,1,0,1,0,0,0,1.03000020980835,0,0,6750
3730,3730,0,1175,23,"Female",12,5,0,1,1,0,1,1,3,0,1.22000014781952,1,5750,5500
2840,2840,0,2353,38,"Female",11,21,0,1,1,0,1,1,20,0,1.43999981880188,1,14000,16250
3210,3290,138,1563,61,"Female",12,43,0,1,1,0,0,0,0,0,1.43999981880188,0,0,3500
3650,3650,0,600,51,"Female",8,37,0,1,1,0,1,0,0,0,1.43999981880188,0,0,4500
2708,2768,50,2501,55,"Male",17,32,0,1,1,0,0,1,25,0,0.720000028610229,1,7000,13750
3530,3530,0,2250,33,"Female",10,17,0,1,1,0,0,1,17,0,1.95999908447266,1,12000,3500
4695,4695,200,1533,52,"Female",12,34,0,1,1,0,1,1,0,0,3.15999984741211,1,10000,9500
3639,3714,120,2513,27,"Male",15,6,0,1,1,0,0,1,5,1,3.46000146865845,1,12500,13750
2335,2428,38,2896,36,"Male",9,21,1,1,1,0,0,1,0,0,3.46000146865845,0,0,8250
2813,2813,0,2550,55,"Female",12,37,0,1,1,0,0,0,0,0,3.46000146865845,0,0,8250
3088,3148,0,2747,60,"Female",10,44,0,0,1,0,0,1,38,0,3.46000146865845,0,0,0
3710,3770,0,2127,40,"Female",11,23,0,1,1,1,0,1,22,0,1.72999930381775,1,10000,9500
3293,3518,0,1125,29,"Female",13,10,0,1,1,0,0,1,8,0,3.46000146865845,0,0,6750
3261,3441,0,1125,35,"Female",12,17,0,1,1,0,0,1,16,0,3.46000146865845,1,10000,1000
3540,3840,0,3692,35,"Male",12,17,0,1,1,0,1,1,15,0,3.46000146865845,1,4000,4500
3176,3221,0,2225,39,"Male",12,21,0,1,1,0,0,1,13,0,3.46000146865845,0,0,1000
3060,3060,90,2375,23,"Male",12,5,0,0,1,0,0,1,5,1,3.46000146865845,0,0,4500
3590,3590,30,2100,28,"Male",11,11,0,1,1,0,0,1,1,1,3.46000146865845,1,800,0
2923,2953,265,2243,28,"Female",17,5,0,1,1,0,1,0,0,0,3.46000146865845,0,0,4500
3020,3020,0,2275,54,"Female",13,35,0,1,1,0,0,0,0,0,3.46000146865845,0,0,6750
3110,3110,0,2393,46,"Female",11,29,0,1,1,0,0,1,0,0,2.18000030517578,1,15000,0
3898,3898,0,2408,52,"Female",12,34,0,1,1,0,0,1,31,0,2.4800009727478,1,11000,11750
2841,2931,0,2413,30,"Female",12,12,0,1,1,0,0,1,12,0,3.22999954223633,1,23000,0
3278,3518,0,2420,40,"Female",12,22,0,1,1,0,0,1,16,0,5.47999954223633,1,13000,10500
3151,3191,697,1263,40,"Female",17,17,0,1,1,0,1,1,22,0,4.23999881744385,0,0,4500
3165,3330,670,2765,28,"Male",10,12,1,1,1,0,0,1,11,1,2.40000081062317,1,3000,10500
